ID,Gender,Program Duration,Year of Student,HSC Percentage,CGPA
1,Female,4,1,91.36,3.56
2,Male,4,2,91,3
3,Female,4,1,90.65,3.6
4,Female,4,3,86.5,3.37
5,Female,4,1,69.92,2.48
6,Male,4,1,89.09,2.28
7,Female,4,1,94.82,3.88
8,Female,4,1,69,2.28
9,Male,4,4,92,3.11
10,Female,4,3,65,3.45
11,Male,4,1,60.05,0.51
12,Female,4,2,91.8,3.14
13,Female,4,1,95.94,3.59
14,Female,5,4,80.7,2.67
15,Female,4,3,92,3.39
16,Female,4,1,81,3.29
17,Male,4,1,55.63,2.35
18,Male,4,1,70.74,2.88
19,Male,5,3,86.91,2.35
20,Male,4,1,64.37,3.52
21,Female,4,3,58.55,3.36
22,Female,4,4,89.89,3.46
23,Female,4,1,86.27,3.48
24,Male,4,3,90.36,2.4
25,Female,4,1,79,3.21
26,Female,4,2,84.36,3.32
27,Female,4,1,90.9,3.65
28,Female,5,3,84.72,3.18
29,Male,4,4,91.45,3.49
30,Female,4,1,85.65,3.74
31,Female,4,1,74.27,3.54
32,Male,4,3,87.2,3.26
33,Male,5,1,89.91,3.62
34,Female,4,1,77.27,3.19
35,Male,4,2,78,3.29
36,Female,4,3,77.09,2.64
37,Male,4,4,87.01,3.88
38,Male,4,1,73.9,3
39,Female,4,3,89,3.39
40,Male,4,2,60,2.7
41,Male,4,1,98.27,2.93
42,Male,4,3,90.9,3.62
43,Male,4,3,89.9,3.37
44,Male,4,2,97.45,2.84
45,Male,4,2,93.09,3.67
46,Male,4,2,74.72,3.05
47,Female,4,1,86.45,3.18
48,Female,4,1,97.72,3.91
49,Female,4,2,97.54,3.49
50,Female,4,3,93.9,3.43
51,Female,4,3,87.45,3.57
52,Male,4,2,97.63,3.23
53,Female,4,2,91.45,3.48
54,Female,4,1,97.27,3.89
55,Female,4,1,61,3.08
56,Female,4,2,82.9,2.6
57,Female,5,1,93.72,3.76
58,Female,4,2,64,3.32
59,Female,4,1,98,3.92
60,Male,4,1,88.18,3.64
61,Male,4,2,79.45,3.15
62,Male,4,1,97.81,3.91
63,Male,4,3,84,2.15
64,Female,4,3,50.5,2.84
65,Male,4,3,73,2.28
66,Male,4,1,78.76,3.13
67,Female,4,3,83.88,2.92
68,Male,4,3,78,2.09
69,Female,4,2,94.54,3.78
70,Female,4,2,93.63,3.68
71,Female,4,4,68.18,3.76
72,Female,4,1,92.18,3.64
73,Male,4,3,91.72,2.48
74,Male,4,3,53.64,2.5
75,Male,4,3,88.83,3.51
76,Female,4,2,90.9,3.54
77,Female,4,2,75.18,3.03
